value,anomaly
-2.756088354669575,1
-5.805236279310288,0
-6.120286968658624,0
-6.0071501910416565,0
-6.0421309762841755,0
-5.6129883406168615,0
-5.631595609764526,0
-2.2585958385697857,1
-4.890938295945883,0
-0.3817526755851985,1
-4.055789811014822,0
-3.7788243077946078,0
-3.406084513174964,0
-3.176531127758212,0
-3.185744254138508,0
-3.0925013556169874,0
-2.9293494299270386,0
-3.0713387493448296,0
2.3923727445311105,1
-3.630117009114424,0
-4.060882057992818,0
-4.303908839843052,0
-4.6319706762140225,0
-5.019961096337322,0
-5.487806097502648,0
-5.703826858389481,0
-4.7442069181075786,1
-6.006289944819197,0
-5.8414306050464155,0
-5.952332100606416,0
-5.8127390911292585,0
-5.46958188543853,0
-5.208161721765823,0
-4.89916925054621,0
-4.327600954446477,0
-4.139355885700766,0
2.12100944607218,1
2.8128442093915957,1
-3.257495440280834,0
-3.1594958455480144,0
-2.8751881082485395,0
-3.0807304316611495,0
-3.0607329225765674,0
-3.3614439673293126,0
-3.6189895213081966,0
-3.9885530216035265,0
-4.255520485576649,0
-4.808707767559429,0
-4.906442159269467,0
-5.490235586862685,0
-5.646001230012235,0
-5.786038513849457,0
-6.124570029877223,0
-6.003005636662466,0
-5.904006064658622,0
-5.892859385379408,0
-5.5101413481846215,0
-5.273999641296114,0
-4.8824999195258005,0
-4.350729476268435,0
-4.087740333913656,0
-3.778595394054235,0
-3.5043655662950144,0
-3.3353958320039627,0
-3.1119974674099264,0
-3.019164416357837,0
-2.9948906073753196,0
-3.224812641128389,0
-3.251462044447049,0
-3.63559347244333,0
1.5283153656630262,1
-4.3563532837349355,0
-4.632725212670092,0
-5.019496785088398,0
-5.248478359525708,0
-5.617289285750714,0
-5.76945105497792,0
-5.817602458674267,0
-6.031234244083459,0
-5.877896804898627,0
-5.779600504836882,0
-5.450525833149193,0
-2.9317359358419313,1
-0.952818063400537,1
-4.454668234605802,0
-4.194992450563765,0
-3.7329677436453954,0
-3.505959172280834,0
-3.225874928774279,0
-2.975289213558956,0
-2.898889771501951,0
-3.156723459956948,0
-3.121131114783922,0
-3.3696615433320427,0
-3.5787694365994653,0
-3.975885887254069,0
-4.27621822734722,0
-4.795232050014174,0
-5.021608839653778,0
-3.671314795411065,1
-4.040131402129033,1
-5.86920438107428,0
-5.880349719553288,0
-5.872274869337109,0
-5.976230103062171,0
-5.506599852117071,0
-5.497462762447637,0
-5.198087109679339,0
-4.896385860289923,0
-4.60684916915097,0
-4.173830583153305,0
1.9544607336999733,1
-3.4017073840075716,0
2.6510750788731605,1
-3.1555070147784443,0
-3.021061063573991,0
-3.0712026618437203,0
-3.216470313409644,0
-3.3376128907544107,0
-3.663529074298075,0
-3.863396511999293,0
-4.242471152243527,0
-4.858186624947927,0
-5.078299626857014,0
-5.39397978363942,0
-2.6836445728195355,1
-5.904254621553653,0
-5.994051361684753,0
-5.910980784753858,0
-5.839587101387098,0
-5.713828050351037,0
-5.623113519689104,0
-5.108457428561747,0
-4.886532079570959,0
-4.528211052571188,0
-4.092438978453087,0
-3.6682128792920916,0
-3.455066324516308,0
-3.2363331120417653,0
-3.011050248314382,0
-2.830507197200923,0
-3.0970393071363747,0
-3.1343727279103075,0
-3.1537727333529553,0
-3.5880522404043855,0
-4.089175750021965,0
-4.21619124726369,0
-4.72141897013196,0
-5.147460681946437,0
-5.334015290824056,0
-5.678152539495612,0
-5.887412322818819,0
-6.013678908103957,0
-5.935305762517421,0
-5.924695381697141,0
-5.652676678626445,0
-5.499099822592493,0
-5.25867792331523,0
-0.2948598750206735,1
0.5824156989925218,1
1.2130665527042077,1
2.279570836007722,1
3.0054320936338303,1
3.8025227440983858,1
3.018762552913568,1
5.200215238694852,1
5.62486233484777,1
5.9132958350670215,1
1.1115417201575992,0
0.820671016595445,0
0.5389195642011728,0
0.22602841299467613,0
-0.20800821266425018,0
-0.616391480676854,0
-0.7647292641720238,0
-1.237721529010817,0
-1.3003873913366029,0
1.2082342161602795,1
1.4776562969111264,1
0.9088633290487653,1
-0.15572300833065977,1
-1.1511492876937295,1
-1.7084390678304615,1
-0.9647823417162984,1
0.06465892600720835,1
1.1656641823900404,1
1.5387255780590627,1
1.2546963645862759,1
0.17507818548860588,1
2.992887174014612,1
-1.5277876786124978,1
-1.267527321024395,1
5.137453315154159,1
0.6416718397760737,1
1.480186961487846,1
1.3740088923018008,1
0.21678401397508473,0
-0.087895043516931,0
-0.4268024898809246,0
-0.9051534583068959,0
-1.1465034169747872,0
-1.241160895987111,0
-5.771162813492666,1
-1.4217852758508034,0
-5.231977731102681,1
-1.2598431539600004,0
-1.1261640160885413,0
-2.555849973499906,1
-0.28328522123827327,0
-0.034863192770385076,0
1.0805420638296337,1
0.7412676080186253,0
3.928932313046011,1
1.256586134649528,0
1.387161384831575,0
1.453173392707912,0
1.403737336250424,0
1.3871218101697513,0
1.0540767749938813,0
0.7533091494548874,0
0.5640817237541178,0
0.34793635500862674,0
0.016100170393536395,0
-0.7001516326328927,0
-0.8411919095143752,0
-1.115031875656257,0
-1.2849597388682366,0
-1.379401416023276,0
-1.5135498849250064,0
-1.4455050274762522,0
-1.265739102797391,0
-0.9907990302216367,0
-0.8694030775708033,0
-0.4153711801203608,0
-0.08724268666353385,0
0.3714466476747589,0
0.7474608873486677,0
0.9993334401845106,0
1.3310275437708947,0
1.408089976977677,0
1.6088300749374582,0
1.4434765228172641,0
1.3816310506227905,0
1.1066988001280906,0
0.8802436720912681,0
0.6266574527273057,0
0.1782801084204193,0
-0.20081213092302352,0
-0.49290472224160364,0
-0.7997916853975546,0
-1.1861511089577341,0
-1.3170072834339202,0
-1.633279475591923,0
-1.4773093409349105,0
-1.5219141233547928,0
-1.1968093797557637,0
-2.8246855036490475,1
-0.7208143606072603,0
-0.46406169619816584,0
0.014110271779200545,0
0.3301150383067277,0
0.9285143585107041,0
1.0361922073442855,0
2.6697631063598504,1
1.4595104415092397,1
5.246151054264089,1
1.35673101530318,1
2.889114562422377,1
0.968973413628583,1
2.396960274545189,1
0.533689188534193,1
0.8317532902808548,1
-0.2706236882393718,1
-0.4967652864700369,0
-0.8932915125513095,0
-1.1622240374166335,0
-1.3824223415882653,0
-1.4836780795392137,0
-1.4900818607698554,0
-1.41235586504426,0
-1.420142282448328,0
-0.9680367030294965,0
-0.7401043532710361,0
-1.5416911412150958,1
